Area Code,Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag
2,Afghanistan,4007,"Ammonia, anhydrous",5610,Import Quantity,2011,2011,tonnes,4.49,R
2,Afghanistan,4007,"Ammonia, anhydrous",5610,Import Quantity,2014,2014,tonnes,2,R
2,Afghanistan,4007,"Ammonia, anhydrous",5610,Import Quantity,2017,2017,tonnes,2.07,R
2,Afghanistan,4007,"Ammonia, anhydrous",5622,Import Value,2011,2011,1000 US$,2.69,R
2,Afghanistan,4007,"Ammonia, anhydrous",5622,Import Value,2014,2014,1000 US$,1.07,R
2,Afghanistan,4007,"Ammonia, anhydrous",5622,Import Value,2017,2017,1000 US$,1.24,R
2,Afghanistan,4003,Ammonium nitrate (AN),5610,Import Quantity,2002,2002,tonnes,1786.13,R
2,Afghanistan,4003,Ammonium nitrate (AN),5610,Import Quantity,2007,2007,tonnes,0.64,R
2,Afghanistan,4003,Ammonium nitrate (AN),5610,Import Quantity,2012,2012,tonnes,1456.8,R
2,Afghanistan,4003,Ammonium nitrate (AN),5610,Import Quantity,2013,2013,tonnes,1,R
2,Afghanistan,4003,Ammonium nitrate (AN),5622,Import Value,2002,2002,1000 US$,123.24,R
2,Afghanistan,4003,Ammonium nitrate (AN),5622,Import Value,2007,2007,1000 US$,7.18,R
2,Afghanistan,4003,Ammonium nitrate (AN),5622,Import Value,2012,2012,1000 US$,445.8,R
2,Afghanistan,4003,Ammonium nitrate (AN),5622,Import Value,2013,2013,1000 US$,2.8,R
2,Afghanistan,4002,Ammonium sulphate,5610,Import Quantity,2003,2003,tonnes,0.14,R
2,Afghanistan,4002,Ammonium sulphate,5610,Import Quantity,2006,2006,tonnes,5.2,R
2,Afghanistan,4002,Ammonium sulphate,5610,Import Quantity,2016,2016,tonnes,23,R
2,Afghanistan,4002,Ammonium sulphate,5622,Import Value,2003,2003,1000 US$,0.02,R
2,Afghanistan,4002,Ammonium sulphate,5622,Import Value,2006,2006,1000 US$,0.83,R
